Va_V,J_A_cm2,I_A,J_no_avalanche_A_cm2,M_numeric,M_miller,ionization_integral_depletion_approx,J_std_over_J
-0.1,-9.277022057680769e-07,-9.277022057680769e-11,-9.27686885044187e-07,1.0000165149730333,1.0000007591586761,0.0010005366522739237,2.3044754481239347e-07
-0.25,-1.8379918506308126e-06,-1.8379918506308127e-10,-1.8379043644131735e-06,1.0000476010718147,1.0000118619860137,0.0017544986431793353,2.1237163138837946e-07
-0.47500000000000003,-3.0097938861927542e-06,-3.0097938861927545e-10,-3.00930397075391e-06,1.0001628002500265,1.0000813670170245,0.0034635749310053645,1.5449643905921884e-07
-0.7250000000000001,-4.148512618553374e-06,-4.148512618553374e-10,-4.146646752904984e-06,1.0004499697610083,1.0002893822630996,0.006303131350556455,6.442128958502869e-07
-0.9750000000000001,-5.163408802824545e-06,-5.163408802824546e-10,-5.158326303822468e-06,1.0009853000184015,1.0007041282495954,0.01024286041581715,6.962661289461619e-08
-1.0,-5.266596370845061e-06,-5.266596370845062e-10,-5.261047896813113e-06,1.0010546328679708,1.0007597348586235,0.010700375651225485,2.6793467283117104e-07
-1.2519851689800874,-6.211519703207274e-06,-6.211519703207275e-10,-6.199367067715971e-06,1.0019603026177606,1.001492029052996,0.015975916276120876,1.1797016696101976e-06
-1.5194002956416761,-7.139577852897373e-06,-7.139577852897373e-10,-7.1155224232432725e-06,1.0033806976105537,1.0026699729350468,0.022914650103890603,2.7929263733235894e-07
-1.7969157428679394,-8.022595499235074e-06,-8.022595499235074e-10,-7.979096699923382e-06,1.0054515944533058,1.0044241773579115,0.03157780195498568,3.160161895148363e-07
-2.0812141955535735,-8.847168633981569e-06,-8.847168633981569e-10,-8.774235105214063e-06,1.008312237806822,1.0068907248513548,0.041970989864263376,6.235441393251974e-07
-2.3657380345864034,-9.730301281719621e-06,-9.730301281719621e-10,-9.615521948063692e-06,1.0119368802105477,1.010153589422885,0.0538613165079855,2.153572214921752e-07
-2.652397227655809,-1.0633090116106332e-05,-1.0633090116106332e-09,-1.0460931946074462e-05,1.0164572497860933,1.0143695822831644,0.06728071215633664,2.4099632699742645e-08
-2.9479971420145152,-1.1285883841357838e-05,-1.1285883841357839e-09,-1.1038597285187843e-05,1.0224019909216018,1.019835517589856,0.08255060442651162,9.483940703516016e-07
-3.2367462314048954,-1.2296375713579323e-05,-1.2296375713579324e-09,-1.1950622438410503e-05,1.0289318214972245,1.0264231519661435,0.09878405798555062,2.5893593253464537e-07
-3.536031566687736,-1.2875373277232013e-05,-1.2875373277232015e-09,-1.2409672472312792e-05,1.0375272438461407,1.034730238942363,0.11689000322158703,2.7225418729392923e-07
-3.827028754352091,-1.3968455924800894e-05,-1.3968455924800895e-09,-1.3347810701495902e-05,1.0464979042020304,1.0444428698621833,0.1356528205522876,4.9820535538259316e-08
-4.128306596738521,-1.4489854839371291e-05,-1.4489854839371292e-09,-1.3692057695096427e-05,1.0582671474252245,1.0564270812325272,0.15618784581598893,5.385165943520874e-07
-4.421345889809623,-1.5624683396821742e-05,-1.5624683396821744e-09,-1.4599494025686762e-05,1.0702208836368736,1.0702213745198748,0.17715251873735435,3.267668932039143e-07
-4.719101512786867,-1.6371676866563005e-05,-1.6371676866563005e-09,-1.5090707542720083e-05,1.0848846430968624,1.0867001645161316,0.1993436710974858,1.2297476311076815e-07
-5.016668865262476,-1.7020975203503786e-05,-1.7020975203503787e-09,-1.5451736937281213e-05,1.1015574024196846,1.1060075043486104,0.22232135515424437,1.0379535231263171e-07
-5.308999272518429,-1.8405466863766993e-05,-1.8405466863766995e-09,-1.6464769608640106e-05,1.1178696879006726,1.1281561469005965,0.24558904606105464,3.834542813519193e-07
-5.609311326734589,-1.9123432863572243e-05,-1.9123432863572244e-09,-1.6798065298733828e-05,1.138430677788453,1.1547163370097995,0.2701254503255738,2.2071197089499518e-07
-5.907248097764706,-1.980912902037544e-05,-1.980912902037544e-09,-1.7056040102741546e-05,1.1614143084238744,1.185523045062466,0.2950235222111438,5.578745891210056e-07
-6.200497611553324,-2.1346936907304135e-05,-2.1346936907304136e-09,-1.8032291995006658e-05,1.1838171716171932,1.220959775530598,0.3199984962956859,5.2985531467744585e-08
-6.496629078074781,-2.2504669681120636e-05,-2.2504669681120636e-09,-1.8594764912050805e-05,1.210269115396878,1.2628807524476975,0.3456234812327173,8.616394613695229e-08
-6.795705359807977,-2.323000963127034e-05,-2.323000963127034e-09,-1.8709170710822245e-05,1.2416375899458245,1.3127694387339592,0.37185187166088673,2.6463380413455207e-07
-7.09245608022846,-2.433570777189404e-05,-2.433570777189404e-09,-1.9085688227431822e-05,1.2750762499052235,1.3714521249523992,0.3981629342745715,4.508365277720209e-07
-7.383662073655007,-2.6348937709527268e-05,-2.634893770952727e-09,-2.0143346436871933e-05,1.3080715159272713,1.440083872404931,0.4242072250527865,1.638126446179835e-07
-7.679852862637538,-2.781541312406891e-05,-2.781541312406891e-09,-2.0628849556885517e-05,1.3483744232738688,1.5240820344657904,0.45087595368485534,2.95303766506781e-07
-7.977791976435601,-2.890643716160166e-05,-2.8906437161601663e-09,-2.0712632159470256e-05,1.3955945791459934,1.6272358130973248,0.477837357705684,1.1380448479536392e-07
-8.421796495031263,-3.116911588238125e-05,-3.1169115882381256e-09,-2.113990195816204e-05,1.4744210235254647,1.8297183753457205,0.5181755828886304,6.447516142629113e-07
-8.857271799972555,-3.5266006319742267e-05,-3.526600631974227e-09,-2.262450624657805e-05,1.558752528580651,2.116454791867122,0.557813608303523,7.208891630704938e-07
