device,mesh,passed,status,N,h_min_nm,BV,BV_shift_vs_finest_pct,sze,points,rejections,max_nonconservation,snapback_mV,J_end,seconds
p+n flat 1e18/1e17,"fine (0.05, 1.06)",True,reached_J_stop,244,0.20442272588706037,-14.726052555232933,-0.0,10.961986342525709,65,0,1.4324253183597999e-06,0.0,-2539.649303272304,0.8832650184631348
p+n flat 1e18/1e17,"medium (0.3, 1.10)",True,reached_J_stop,138,1.226536355322362,-14.719377006560581,-0.045331555400292045,10.961986342525709,63,0,1.3455559918406626e-06,0.0,-1224.0709799062536,0.747258186340332
p+n flat 1e18/1e17,"coarse (1.0, 1.15)",True,reached_J_stop,98,4.088454517741207,-14.728352453065456,0.015617884181096709,10.961986342525709,66,3,1.422772663234199e-06,0.0,-1481.76354854074,0.9158570766448975
p+n flat 1e18/1e17,"very coarse (3.0, 1.25)",True,reached_J_stop,75,12.26536355322362,-14.723511426367773,-0.017256008394838585,10.961986342525709,70,7,1.2789231393787643e-06,0.0,-1197.0781725257764,1.1228857040405273
p+n flat 1e21/1e17,"fine (0.05, 1.06)",True,reached_J_stop,363,0.006464414193033752,-14.081870697815875,-0.0,10.961986342525709,68,0,1.6679152172854255e-06,0.0,-1797.627404242084,1.1286628246307373
p+n flat 1e21/1e17,"medium (0.3, 1.10)",True,reached_J_stop,210,0.03878648515820251,-14.077461342422577,-0.03131228434004643,10.961986342525709,64,0,1.2989572192851734e-06,0.0,-2466.194147256204,0.9181602001190186
p+n flat 1e21/1e17,"coarse (1.0, 1.15)",True,reached_J_stop,148,0.12928828386067504,-14.058407944441871,-0.16661673635195795,10.961986342525709,60,2,1.4896472370700717e-06,0.0,-1536.1513272721159,0.8604559898376465
p+n flat 1e21/1e17,"very coarse (3.0, 1.25)",True,reached_J_stop,105,0.38786485158202516,-14.071915493056876,-0.07069518654608066,10.961986342525709,60,2,1.3093278459734471e-06,0.0,-2250.1174044280087,0.9991359710693359
n+p flat 1e17/1e20,"fine (0.05, 1.06)",True,reached_J_stop,310,0.020442272588706033,-14.988165503975768,-0.0,10.961986342525709,70,0,3.12301639726727e-06,0.0,-1419.8209387630773,0.9836969375610352
n+p flat 1e17/1e20,"medium (0.3, 1.10)",True,reached_J_stop,170,0.1226536355322362,-14.990361546898752,0.014651845967416074,10.961986342525709,64,1,4.472807709218609e-06,0.0,-1128.4769804138439,0.8870422840118408
n+p flat 1e17/1e20,"coarse (1.0, 1.15)",True,reached_J_stop,112,0.4088454517741207,-14.968031179167403,-0.134334817713514,10.961986342525709,66,2,5.469239561398532e-06,0.0,-1171.4068312467211,0.9538648128509521
