variant,Vg_V,Id_A_per_um,kane_surface,tat_surface,kane_bulk,tat_bulk
0,-2.000,4.011328e-11,3.782226e-11,1.549237e-12,2.537215e-15,3.894152e-13
0,-1.800,4.842277e-12,3.358319e-12,1.083788e-12,2.537330e-15,3.896784e-13
0,-1.600,1.165109e-12,1.601886e-13,6.045609e-13,2.537393e-15,3.899548e-13
0,-1.400,6.967310e-13,3.010770e-15,2.931182e-13,2.537211e-15,3.901737e-13
0,-1.200,5.329878e-13,3.393162e-17,1.311013e-13,2.536287e-15,3.900798e-13
0,-1.000,4.599744e-13,2.854125e-18,5.879750e-14,2.534712e-15,3.898408e-13
0,-0.800,4.279802e-13,3.479127e-19,2.766510e-14,2.533098e-15,3.894298e-13
0,-0.600,4.136243e-13,3.413813e-20,1.388486e-14,2.531958e-15,3.890739e-13
0,-0.400,4.070025e-13,2.958742e-21,8.127884e-15,2.531307e-15,3.882140e-13
0,-0.200,4.119136e-13,3.047194e-22,6.559715e-15,2.530915e-15,3.870230e-13
0,0.000,2.736023e-12,2.547579e-23,5.674730e-15,2.530608e-15,3.854741e-13
0,0.200,8.882156e-10,3.687678e-25,2.999509e-15,2.530313e-15,3.834741e-13
0,0.400,3.222059e-07,2.178466e-29,2.571814e-15,2.529980e-15,3.793031e-13
0,0.600,9.284687e-06,1.509782e-26,3.789782e-15,2.528675e-15,3.782309e-13
0,0.800,3.803228e-05,1.459346e-28,7.263393e-15,2.525199e-15,3.785415e-13
0,1.000,8.602801e-05,2.177439e-27,1.194879e-14,2.519709e-15,3.780649e-13
1,-2.000,1.756422e-07,1.756604e-07,6.292556e-13,2.535835e-15,3.891405e-13
1,-1.800,7.698194e-08,7.698362e-08,1.594528e-12,2.536446e-15,3.893063e-13
1,-1.600,2.048590e-08,2.048360e-08,1.941716e-12,2.536795e-15,3.893664e-13
1,-1.400,3.217683e-09,3.189774e-09,1.928784e-12,2.536917e-15,3.893535e-13
1,-1.200,3.505120e-10,3.483158e-10,1.796391e-12,2.536715e-15,3.894658e-13
1,-1.000,1.345623e-11,1.188564e-11,1.170896e-12,2.535417e-15,3.892728e-13
1,-0.800,1.000507e-12,1.069764e-13,4.943068e-13,2.533395e-15,3.886788e-13
1,-0.600,5.602461e-13,2.262886e-17,1.593124e-13,2.532043e-15,3.877097e-13
1,-0.400,4.628011e-13,5.967475e-22,4.505895e-14,2.531302e-15,3.868393e-13
1,-0.200,1.990552e-11,3.366910e-23,1.177741e-14,2.530846e-15,3.850132e-13
1,0.000,2.241980e-08,7.448942e-25,2.095217e-15,2.530460e-15,3.723733e-13
1,0.200,7.248115e-06,3.501443e-28,2.032849e-15,2.529255e-15,3.645662e-13
1,0.400,6.325686e-05,3.604425e-29,4.927889e-15,2.522546e-15,3.699121e-13
1,0.600,1.775997e-04,1.857872e-27,9.593433e-15,2.509723e-15,3.739031e-13
1,0.800,3.396924e-04,2.110434e-26,1.491612e-14,2.492720e-15,3.749823e-13
1,1.000,5.387702e-04,1.394258e-21,2.227832e-14,2.473404e-15,3.745861e-13
2,-2.000,3.415640e-07,3.416396e-07,7.652914e-14,2.534818e-15,3.890142e-13
2,-1.800,2.066455e-07,2.066685e-07,4.396826e-13,2.535644e-15,3.890936e-13
2,-1.600,9.851239e-08,9.851724e-08,1.358779e-12,2.536312e-15,3.892775e-13
2,-1.400,3.024032e-08,3.023821e-08,1.931583e-12,2.536734e-15,3.893458e-13
2,-1.200,5.233720e-09,5.231357e-09,1.964024e-12,2.536902e-15,3.893089e-13
2,-1.000,6.388665e-10,6.366315e-10,1.835353e-12,2.536823e-15,3.894042e-13
2,-0.800,3.247293e-11,3.070209e-11,1.371003e-12,2.535879e-15,3.894609e-13
2,-0.600,1.461984e-12,4.317840e-13,6.309368e-13,2.533866e-15,3.888481e-13
2,-0.400,6.146647e-13,3.709862e-16,2.160828e-13,2.532310e-15,3.877453e-13
2,-0.200,4.637035e-13,1.476910e-21,6.108225e-14,2.531451e-15,3.871058e-13
2,0.000,3.812635e-12,7.106693e-23,1.771268e-14,2.530948e-15,3.857586e-13
2,0.200,3.834591e-09,2.367008e-24,3.265722e-15,2.530556e-15,3.764593e-13
2,0.400,2.600959e-06,6.544494e-27,1.733658e-15,2.529882e-15,3.645930e-13
2,0.600,4.346106e-05,5.281924e-34,3.774997e-15,2.524860e-15,3.684422e-13
2,0.800,1.440939e-04,9.566412e-28,8.485978e-15,2.513401e-15,3.732131e-13
2,1.000,2.952982e-04,1.186631e-26,1.339804e-14,2.497252e-15,3.748939e-13
3,-2.000,1.934498e-04,1.961735e-04,-1.651062e-06,4.347576e-13,4.237623e-13
3,-1.800,1.265832e-04,1.283668e-04,-8.150097e-07,4.798525e-13,4.416960e-13
3,-1.600,7.847342e-05,7.871376e-05,-5.245701e-08,5.151886e-13,4.562965e-13
3,-1.400,4.555690e-05,4.541425e-05,-7.927073e-08,5.408486e-13,4.662649e-13
3,-1.200,2.358786e-05,2.353613e-05,-4.149357e-08,5.584189e-13,4.720430e-13
3,-1.000,8.008526e-06,7.945690e-06,-4.598899e-12,5.707327e-13,4.749656e-13
3,-0.800,1.322434e-06,1.321769e-06,2.511937e-14,5.749985e-13,4.721954e-13
3,-0.600,2.540448e-07,2.536535e-07,7.483252e-13,5.748727e-13,4.667421e-13
3,-0.400,4.224397e-09,4.184949e-09,1.003680e-12,5.746297e-13,4.615337e-13
3,-0.200,2.244457e-11,2.061845e-11,6.464977e-13,5.743572e-13,4.565452e-13
3,0.000,4.129107e-12,1.067535e-15,1.881543e-13,5.741253e-13,4.510006e-13
3,0.200,3.281695e-09,1.884174e-20,2.194182e-15,5.738743e-13,4.411054e-13
3,0.400,2.252021e-06,1.174141e-22,2.045891e-15,5.735639e-13,4.332460e-13
3,0.600,3.997540e-05,2.020788e-24,4.315540e-15,5.727528e-13,4.340158e-13
3,0.800,1.389964e-04,1.663223e-25,9.962660e-15,5.711193e-13,4.361176e-13
3,1.000,2.955419e-04,2.993291e-24,1.557035e-14,5.687425e-13,4.362157e-13
