model,bias_V,drain_A_per_um,body_A_per_um,source_A_per_um,kane_surface_A_per_um,kane_bulk_A_per_um,tat_surface_A_per_um,tat_bulk_A_per_um,iters,outer,res_norm
none,-2.0000,7.886158e-15,-7.905402e-15,-4.487220e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.036768e-05
none,-1.8000,7.988308e-15,-7.912080e-15,-4.487220e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.014511e-05
none,-1.6000,7.988308e-15,-7.915006e-15,-4.487220e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,2.009047e-05
none,-1.4000,7.852108e-15,-7.919424e-15,6.862807e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,2.117771e-05
none,-1.2000,7.874808e-15,-7.912105e-15,-4.487220e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,1.922744e-05
none,-1.0000,7.874808e-15,-7.904405e-15,-4.487220e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.027447e-05
none,-0.8000,7.988308e-15,-7.899323e-15,-4.487220e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.822150e-05
none,-0.6000,7.857651e-15,-7.904985e-15,-4.487220e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.954017e-05
none,-0.4000,7.940532e-15,-7.961700e-15,-3.352217e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.220067e-05
none,-0.2000,1.573615e-14,-8.222094e-15,-7.423182e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.209500e-05
none,0.0000,2.339032e-12,-8.406143e-15,-2.330672e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.542564e-05
none,0.2000,8.877895e-10,-8.218479e-15,-8.877813e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.777174e-05
none,0.4000,3.221937e-07,-8.140699e-15,-3.221937e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.537002e-05
none,0.6000,9.284440e-06,-8.515452e-15,-9.284440e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.458819e-05
none,0.8000,3.803151e-05,-8.968354e-15,-3.803151e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.152240e-05
none,1.0000,8.602660e-05,-9.418337e-15,-8.602660e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4,0,2.605442e-05
local_1d,-2.0000,7.586984e-12,-8.574375e-12,9.874028e-13,4.883880e-12,5.448021e-13,1.504249e-12,6.464327e-13,6,0,2.331559e-05
local_1d,-1.8000,6.885406e-12,-7.490817e-12,6.055797e-13,4.172992e-12,5.448025e-13,1.513733e-12,6.461452e-13,5,0,2.299356e-05
local_1d,-1.6000,5.836202e-12,-5.994905e-12,1.585929e-13,3.405886e-12,5.448020e-13,1.232479e-12,6.453813e-13,6,0,2.370063e-05
local_1d,-1.4000,4.617101e-12,-4.650854e-12,3.363752e-14,2.520705e-12,5.447996e-13,8.998666e-13,6.440227e-13,6,0,2.547855e-05
local_1d,-1.2000,3.566271e-12,-3.566649e-12,4.666707e-16,1.792931e-12,5.447933e-13,5.785600e-13,6.421622e-13,6,0,2.066351e-05
local_1d,-1.0000,2.622517e-12,-2.622547e-12,6.783610e-17,1.092841e-12,5.447819e-13,3.373544e-13,6.397532e-13,5,0,2.266085e-05
local_1d,-0.8000,1.934775e-12,-1.934941e-12,1.084850e-16,5.877462e-13,5.447672e-13,1.585552e-13,6.360488e-13,5,0,2.255353e-05
local_1d,-0.6000,1.434933e-12,-1.435067e-12,1.256421e-16,1.719754e-13,5.447525e-13,7.905925e-14,6.314360e-13,5,0,2.345510e-05
local_1d,-0.4000,1.230354e-12,-1.230393e-12,3.141043e-17,9.731654e-15,5.447395e-13,4.034029e-14,6.276601e-13,5,0,2.307023e-05
local_1d,-0.2000,1.205277e-12,-1.198482e-12,-6.896858e-15,1.024029e-16,5.447280e-13,2.051292e-14,6.245461e-13,5,0,2.381414e-05
local_1d,0.0000,3.519656e-12,-1.190345e-12,-2.329303e-12,5.005656e-19,5.447179e-13,1.458911e-14,6.217603e-13,5,0,2.376254e-05
local_1d,0.2000,8.889594e-10,-1.179461e-12,-8.877799e-10,5.379776e-20,5.447085e-13,7.535079e-15,6.181268e-13,5,0,2.723800e-05
local_1d,0.4000,3.221949e-07,-1.171103e-12,-3.221937e-07,3.745275e-20,5.446982e-13,6.607023e-15,6.106026e-13,6,0,2.553985e-05
local_1d,0.6000,9.284441e-06,-1.175320e-12,-9.284440e-06,5.218038e-19,5.446532e-13,1.076252e-14,6.080745e-13,6,0,2.618000e-05
local_1d,0.8000,3.803151e-05,-1.184221e-12,-3.803151e-05,3.738131e-18,5.445294e-13,1.647333e-14,6.083595e-13,5,0,2.684750e-05
local_1d,1.0000,8.602660e-05,-1.193984e-12,-8.602660e-05,1.789045e-17,5.443308e-13,2.419720e-14,6.078726e-13,4,0,2.474579e-05
local,-2.0000,4.839962e-09,-4.909910e-09,6.994796e-11,3.683006e-08,2.957374e-12,-3.199312e-08,1.132790e-13,6,0,2.309473e-05
local,-1.8000,2.614237e-09,-2.625498e-09,1.126152e-11,1.360287e-08,2.957363e-12,-1.099168e-08,1.130537e-13,5,0,2.478197e-05
local,-1.6000,1.248513e-09,-1.249408e-09,8.953282e-13,4.382300e-09,2.957345e-12,-3.136852e-09,1.123030e-13,6,0,2.963387e-05
local,-1.4000,4.998634e-10,-4.998971e-10,3.376950e-14,1.188692e-09,2.957318e-12,-6.919002e-10,1.109521e-13,6,0,2.970668e-05
local,-1.2000,1.557114e-10,-1.557119e-10,4.661428e-16,2.587068e-10,2.957278e-12,-1.060680e-10,1.091012e-13,6,0,2.712532e-05
local,-1.0000,3.561260e-11,-3.561270e-11,3.932905e-17,4.223723e-11,2.957223e-12,-9.695805e-12,1.067049e-13,5,0,2.645023e-05
local,-0.8000,7.403415e-12,-7.403429e-12,1.187792e-16,4.700824e-12,2.957152e-12,-3.651732e-13,1.030165e-13,5,0,2.677111e-05
