model,bias_V,drain_A_per_um,body_A_per_um,source_A_per_um,kane_surface_A_per_um,kane_bulk_A_per_um,tat_surface_A_per_um,tat_bulk_A_per_um,iters,outer,res_norm
none,-3.0000,2.572312e-14,-4.900007e-14,2.327495e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.681051e-05
none,-2.8000,2.498748e-14,-4.736559e-14,2.246514e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.212745e-05
none,-2.6000,2.433657e-14,-4.597563e-14,2.164371e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.089559e-05
none,-2.4000,2.374769e-14,-4.415386e-14,2.033503e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.212745e-05
none,-2.2000,2.315722e-14,-4.144709e-14,1.833267e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.927566e-05
none,-2.0000,2.218482e-14,-3.923355e-14,1.694005e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.438227e-05
none,-1.8000,2.156321e-14,-3.767041e-14,1.607613e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.030315e-05
none,-1.6000,2.079853e-14,-3.581125e-14,1.501266e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4,0,2.334055e-05
none,-1.4000,1.930904e-14,-3.257794e-14,1.321486e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.209126e-05
none,-1.2000,1.745397e-14,-2.931338e-14,1.194551e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.254939e-05
none,-1.0000,1.689623e-14,-2.678735e-14,9.846545e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.556908e-05
none,-0.8000,1.899599e-14,-2.350958e-14,4.503322e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.415425e-05
none,-0.6000,3.067754e-14,-2.072041e-14,-1.004477e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.380696e-05
none,-0.4000,9.035044e-14,-1.731766e-14,-7.306594e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.433985e-05
none,-0.2000,4.067509e-13,-1.319551e-14,-3.935253e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.196389e-05
none,0.0000,2.339032e-12,-8.406143e-15,-2.330672e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.542564e-05
local_1d,-3.0000,1.536730e-10,-2.640850e-10,1.104121e-10,1.420438e-11,1.523713e-10,2.261479e-12,-1.565158e-11,5,0,2.381387e-05
local_1d,-2.8000,1.437529e-10,-2.372882e-10,9.353528e-11,1.049462e-11,1.425988e-10,2.034251e-12,-1.178687e-11,5,0,2.421831e-05
local_1d,-2.6000,1.352675e-10,-2.112400e-10,7.597254e-11,6.812855e-12,1.359224e-10,1.794353e-12,-9.578085e-12,5,0,2.019104e-05
local_1d,-2.4000,1.196943e-10,-1.768977e-10,5.720327e-11,3.050806e-12,1.201538e-10,1.592769e-12,-5.285150e-12,5,0,2.097094e-05
local_1d,-2.2000,1.064788e-10,-1.497812e-10,4.330243e-11,1.158763e-12,1.062679e-10,1.283052e-12,-2.331758e-12,5,0,2.524369e-05
local_1d,-2.0000,9.681945e-11,-1.270076e-10,3.018816e-11,3.952961e-13,9.651782e-11,9.709281e-13,-1.125344e-12,5,0,2.584976e-05
local_1d,-1.8000,8.255468e-11,-1.026703e-10,2.011569e-11,1.194598e-13,8.134003e-11,7.132721e-13,3.402474e-13,5,0,2.484746e-05
local_1d,-1.6000,6.735362e-11,-7.799442e-11,1.064087e-11,3.147039e-14,6.557229e-11,5.173736e-13,1.200307e-12,4,0,2.722725e-05
local_1d,-1.4000,5.238003e-11,-5.754294e-11,5.162937e-12,7.006480e-15,5.066888e-11,3.731860e-13,1.304493e-12,5,0,2.581607e-05
local_1d,-1.2000,4.098086e-11,-4.367321e-11,2.692253e-12,1.264610e-15,4.002332e-11,2.678948e-13,6.666008e-13,5,0,2.137329e-05
local_1d,-1.0000,2.886945e-11,-3.023659e-11,1.367190e-12,1.821303e-16,2.835114e-11,1.895847e-13,3.090565e-13,5,0,2.161357e-05
local_1d,-0.8000,1.934222e-11,-2.003920e-11,6.969900e-13,2.370158e-17,1.879641e-11,1.332296e-13,3.921522e-13,5,0,2.162136e-05
local_1d,-0.6000,1.016825e-11,-1.056315e-11,3.948531e-13,4.976417e-18,9.002070e-12,9.125993e-14,1.043216e-12,5,0,2.344226e-05
local_1d,-0.4000,5.025445e-12,-5.148428e-12,1.230322e-13,2.082200e-18,3.804936e-12,5.957333e-14,1.069979e-12,5,0,2.395660e-05
local_1d,-0.2000,2.863709e-12,-2.540448e-12,-3.231319e-13,1.008149e-18,1.562134e-12,3.485359e-14,8.599380e-13,6,0,2.321862e-05
local_1d,0.0000,3.519656e-12,-1.190345e-12,-2.329303e-12,5.005656e-19,5.447179e-13,1.458911e-14,6.217603e-13,5,0,2.376254e-05
local,-3.0000,1.992225e-08,-2.330525e-08,3.383006e-09,3.459499e-11,1.592715e-07,-7.296511e-13,-1.393839e-07,5,0,2.388283e-05
local,-2.8000,1.478314e-08,-1.689392e-08,2.110781e-09,1.644522e-11,1.052929e-07,1.263397e-12,-9.052779e-08,5,0,2.121425e-05
local,-2.6000,1.069567e-08,-1.196115e-08,1.265485e-09,7.345971e-12,6.803595e-08,1.726760e-12,-5.734946e-08,5,0,2.183248e-05
local,-2.4000,7.515442e-09,-8.232480e-09,7.170384e-10,3.050796e-12,4.286752e-08,1.592430e-12,-3.535673e-08,5,0,2.033230e-05
local,-2.2000,5.083919e-09,-5.471802e-09,3.878828e-10,1.158760e-12,2.624983e-08,1.282791e-12,-2.116834e-08,5,0,2.542839e-05
local,-2.0000,3.290489e-09,-3.495878e-09,2.053892e-10,3.952954e-13,1.555021e-08,9.707312e-13,-1.226107e-08,5,0,2.313363e-05
local,-1.8000,2.057478e-09,-2.162568e-09,1.050898e-10,1.194597e-13,8.856629e-09,7.131299e-13,-6.799969e-09,5,0,2.457703e-05
local,-1.6000,1.243400e-09,-1.293832e-09,5.043172e-11,3.147037e-14,4.813567e-09,5.172778e-13,-3.570711e-09,4,0,2.767220e-05
local,-1.4000,7.172265e-10,-7.398476e-10,2.262117e-11,7.006477e-15,2.482068e-09,3.731270e-13,-1.765226e-09,5,0,2.286503e-05
local,-1.2000,3.966085e-10,-4.058244e-10,9.215948e-12,1.264610e-15,1.211292e-09,2.678620e-13,-8.149610e-10,5,0,2.377975e-05
local,-1.0000,2.118127e-10,-2.151466e-10,3.333816e-12,1.821302e-16,5.576047e-10,1.895683e-13,-3.459937e-10,5,0,2.545329e-05
local,-0.8000,1.080810e-10,-1.092262e-10,1.145109e-12,2.370157e-17,2.404775e-10,1.332224e-13,-1.325463e-10,5,0,2.329851e-05
local,-0.6000,5.124331e-11,-5.167596e-11,4.324829e-13,4.976417e-18,9.601816e-11,9.125738e-14,-4.489576e-11,5,0,2.142481e-05
local,-0.4000,2.255557e-11,-2.267852e-11,1.229905e-13,2.082200e-18,3.479972e-11,5.957284e-14,-1.239364e-11,5,0,2.521965e-05
local,-0.2000,9.263052e-12,-8.939800e-12,-3.231427e-13,1.008149e-18,1.107584e-11,3.485357e-14,-2.253938e-12,6,0,2.066769e-05
local,0.0000,5.398505e-12,-3.069305e-12,-2.329231e-12,5.005656e-19,2.956786e-12,1.458910e-14,8.881837e-14,5,0,2.753873e-05
nonlocal,-3.0000,3.250297e-08,-3.436488e-08,1.861911e-09,1.321900e-12,3.342004e-08,3.363507e-12,-9.626909e-10,9,1,2.720789e-05
nonlocal,-2.8000,1.855374e-08,-1.954017e-08,9.864340e-10,5.684521e-13,1.893266e-08,2.563727e-12,-4.010231e-10,6,1,2.469131e-05
nonlocal,-2.6000,1.152735e-08,-1.204997e-08,5.226188e-10,2.308536e-13,1.168420e-08,1.912851e-12,-1.734215e-10,10,1,3.627732e-05
nonlocal,-2.4000,5.731757e-09,-5.962702e-09,2.309449e-10,8.676221e-14,5.761019e-09,1.403059e-12,-3.953485e-11,7,1,2.547798e-05
nonlocal,-2.2000,3.325353e-09,-3.413670e-09,8.831779e-11,2.924965e-14,3.320722e-09,1.010900e-12,-4.030902e-12,6,1,2.559137e-05
nonlocal,-2.0000,1.876728e-09,-1.905550e-09,2.882219e-11,3.063362e-15,1.860807e-09,7.195285e-13,8.596939e-12,7,1,4.541291e-05
nonlocal,-1.8000,1.009394e-09,-1.015566e-09,6.171321e-12,1.198111e-16,9.932400e-10,5.073908e-13,1.140145e-11,6,1,3.171602e-05
nonlocal,-1.6000,4.875167e-10,-4.900664e-10,2.549729e-12,2.367627e-17,4.747653e-10,3.558581e-13,1.046150e-11,6,1,3.999376e-05
nonlocal,-1.4000,2.292449e-10,-2.306223e-10,1.377217e-12,3.666894e-18,2.203387e-10,2.480154e-13,8.022237e-12,6,1,2.383191e-05
nonlocal,-1.2000,7.394571e-11,-7.475562e-11,8.097656e-13,3.491720e-20,6.786435e-11,1.685576e-13,5.598164e-12,6,1,2.894705e-05
nonlocal,-1.0000,2.886183e-11,-2.935824e-11,4.963742e-13,7.701028e-21,2.496478e-11,1.148299e-13,3.654483e-12,7,1,2.489885e-05
nonlocal,-0.8000,5.860524e-12,-6.160509e-12,2.999287e-13,3.581594e-21,3.474380e-12,7.569411e-14,2.270757e-12,5,1,2.404848e-05
nonlocal,-0.6000,2.333040e-12,-2.484709e-12,1.516649e-13,1.515357e-21,7.600777e-13,4.771967e-14,1.493517e-12,6,2,2.588387e-05
nonlocal,-0.4000,1.282763e-12,-1.281477e-12,-1.374409e-15,5.649103e-22,1.968688e-13,2.911319e-14,9.659614e-13,6,2,2.261149e-05
nonlocal,-0.2000,1.075630e-12,-6.989580e-13,-3.766451e-13,1.620498e-22,3.955883e-14,1.476681e-14,6.146004e-13,6,2,2.349554e-05
nonlocal,0.0000,2.731727e-12,-4.013673e-13,-2.330335e-12,2.618741e-23,2.530605e-15,5.736320e-15,3.845348e-13,6,2,2.596288e-05
