model,bias_V,drain_A_per_um,body_A_per_um,source_A_per_um,kane_surface_A_per_um,kane_bulk_A_per_um,tat_surface_A_per_um,tat_bulk_A_per_um,iters,outer,res_norm
none,-1.0000,-4.226478e-05,9.390949e-15,4.226478e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4,0,1.685742e-05
none,-0.8000,-1.912471e-05,8.962068e-15,1.912471e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.445151e-05
none,-0.6000,-4.820820e-06,8.536144e-15,4.820820e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.600843e-05
none,-0.4000,-1.723836e-07,8.163125e-15,1.723836e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.416553e-05
none,-0.2000,-4.765521e-10,8.246330e-15,4.765438e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.596496e-05
none,0.0000,-1.260998e-12,8.456130e-15,1.252495e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.551468e-05
none,0.2000,-1.228648e-14,8.305009e-15,3.997891e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.424154e-05
none,0.4000,-8.063967e-15,8.070256e-15,1.581337e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.396811e-05
none,0.6000,-7.981160e-15,8.012776e-15,8.501811e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.223341e-05
none,0.8000,-7.954464e-15,7.986139e-15,-2.720579e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.244161e-05
none,1.0000,-7.946982e-15,7.970159e-15,8.501811e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.210218e-05
none,1.2000,-7.946982e-15,7.969629e-15,8.501811e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,1.138448e-05
none,1.4000,-7.946982e-15,7.969188e-15,-2.720579e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,1.139051e-05
none,1.6000,-7.983030e-15,7.962658e-15,8.501811e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,1.329673e-05
none,1.8000,-7.971808e-15,7.965746e-15,8.501811e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.576656e-05
none,2.0000,-7.971808e-15,7.959098e-15,8.331774e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,2.561310e-05
nonlocal,-1.0000,-4.226478e-05,4.094733e-13,4.226478e-05,2.075678e-25,4.692145e-15,1.173312e-14,3.816354e-13,4,1,1.575557e-05
nonlocal,-0.8000,-1.912471e-05,4.039801e-13,1.912471e-05,1.065355e-26,4.696296e-15,6.986227e-15,3.820183e-13,5,1,1.731532e-05
nonlocal,-0.6000,-4.820821e-06,3.998329e-13,4.820820e-06,5.040212e-26,4.699000e-15,3.658196e-15,3.821196e-13,5,1,1.308550e-05
nonlocal,-0.4000,-1.723840e-07,3.988620e-13,1.723836e-07,2.600690e-25,4.700069e-15,2.598246e-15,3.830388e-13,5,1,1.406772e-05
nonlocal,-0.2000,-4.769458e-10,4.022598e-13,4.765435e-10,1.776429e-24,4.700372e-15,3.206279e-15,3.858331e-13,5,1,1.757787e-05
nonlocal,0.0000,-1.659741e-12,4.074850e-13,1.252187e-12,1.171773e-23,4.700666e-15,5.880803e-15,3.882797e-13,6,2,1.629226e-05
nonlocal,0.2000,-4.131200e-13,4.092708e-13,3.881247e-15,7.655501e-23,4.700997e-15,6.366296e-15,3.896940e-13,5,1,1.510951e-05
nonlocal,0.4000,-4.120907e-13,4.120786e-13,1.207257e-17,5.096168e-22,4.701407e-15,7.999553e-15,3.911538e-13,5,1,1.509286e-05
nonlocal,0.6000,-4.187281e-13,4.187333e-13,4.761014e-18,1.312001e-20,4.701972e-15,1.329464e-14,3.924949e-13,5,1,1.371034e-05
nonlocal,0.8000,-4.335855e-13,4.335832e-13,8.331774e-18,1.476877e-19,4.702757e-15,2.649730e-14,3.938555e-13,5,1,1.210418e-05
nonlocal,1.0000,-4.654017e-13,4.653887e-13,4.761014e-18,8.651545e-19,4.703792e-15,5.652237e-14,3.952331e-13,5,1,1.438902e-05
nonlocal,1.2000,-5.403047e-13,5.403244e-13,8.501811e-19,6.636312e-18,4.704868e-15,1.300149e-13,3.962219e-13,6,1,1.451515e-05
nonlocal,1.4000,-7.105956e-13,7.105793e-13,8.501811e-19,1.163658e-15,4.705713e-15,2.977725e-13,3.967788e-13,6,1,1.446384e-05
nonlocal,1.6000,-1.070963e-12,1.070984e-12,8.501811e-19,4.090835e-14,4.706258e-15,6.167358e-13,3.969614e-13,6,1,1.142228e-05
nonlocal,1.8000,-3.783525e-12,3.783551e-12,-2.720579e-18,2.344122e-12,4.706494e-15,1.013336e-12,3.973360e-13,5,1,1.592801e-05
nonlocal,2.0000,-3.624196e-11,3.624198e-11,8.501811e-19,3.476443e-11,4.705755e-15,9.499918e-13,3.974613e-13,6,1,2.205043e-05
