model,bias_V,drain_A_per_um,body_A_per_um,source_A_per_um,kane_surface_A_per_um,kane_bulk_A_per_um,tat_surface_A_per_um,tat_bulk_A_per_um,iters,outer,res_norm
none,0.0000,-1.260998e-12,8.456130e-15,1.252495e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.551468e-05
none,0.2000,-2.228654e-13,1.325627e-14,2.096885e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,1.347828e-05
none,0.4000,-5.374318e-14,1.736492e-14,3.636666e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.503440e-05
none,0.6000,-2.251637e-14,2.064718e-14,1.861896e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.416305e-05
none,0.8000,-1.716226e-14,2.362428e-14,-6.488242e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.307801e-05
none,1.0000,-1.650184e-14,2.678584e-14,-1.026730e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.450291e-05
none,1.2000,-1.716414e-14,2.920848e-14,-1.205880e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.364068e-05
none,1.4000,-1.888252e-14,3.204017e-14,-1.316029e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.436342e-05
none,1.6000,-2.077655e-14,3.550976e-14,-1.471391e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4,0,1.732879e-05
none,1.8000,-2.166346e-14,3.775055e-14,-1.609342e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.468337e-05
none,2.0000,-2.243084e-14,3.939311e-14,-1.690364e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.404234e-05
none,2.2000,-2.340599e-14,4.147173e-14,-1.801942e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.336256e-05
none,2.4000,-2.413664e-14,4.383659e-14,-1.973355e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.398473e-05
none,2.6000,-2.447909e-14,4.627393e-14,-2.176804e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.535453e-05
none,2.8000,-2.515482e-14,4.783547e-14,-2.262417e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.357206e-05
none,3.0000,-2.620462e-14,4.968126e-14,-2.355733e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.410047e-05
nonlocal,0.0000,-1.659741e-12,4.074850e-13,1.252187e-12,1.171773e-23,4.700666e-15,5.880803e-15,3.882797e-13,6,2,1.629226e-05
nonlocal,0.2000,-9.206611e-13,7.277999e-13,1.928629e-13,1.225371e-22,5.197353e-14,1.470912e-14,6.311022e-13,7,2,1.500944e-05
nonlocal,0.4000,-1.467288e-12,1.502788e-12,-3.538113e-14,8.003313e-22,3.690332e-13,2.896529e-14,1.015161e-12,6,2,1.558465e-05
nonlocal,0.6000,-3.563470e-12,3.723627e-12,-1.602367e-13,3.953264e-21,1.910332e-12,4.761269e-14,1.582123e-12,7,2,1.228412e-05
nonlocal,0.8000,-1.063973e-11,1.094424e-11,-3.045104e-13,1.516790e-20,8.074565e-12,7.558127e-14,2.404412e-12,6,1,1.494061e-05
nonlocal,1.0000,-3.337257e-11,3.388248e-11,-5.099400e-13,4.732241e-20,2.915186e-11,1.146213e-13,3.937119e-12,8,1,2.047984e-05
nonlocal,1.2000,-9.696803e-11,9.782991e-11,-8.618124e-13,1.801899e-19,9.046926e-11,1.683485e-13,5.886498e-12,7,1,5.757386e-05
nonlocal,1.4000,-2.571071e-10,2.587724e-10,-1.665319e-12,2.241342e-18,2.476667e-10,2.477410e-13,7.925636e-12,6,1,5.254199e-05
nonlocal,1.6000,-6.202116e-10,6.241576e-10,-3.945937e-12,3.611292e-17,6.073463e-10,3.556164e-13,8.866290e-12,4,1,1.741514e-05
nonlocal,1.8000,-1.373499e-09,1.384730e-09,-1.123147e-11,3.935957e-16,1.366759e-09,5.066540e-13,6.207315e-12,8,2,1.564666e-05
nonlocal,2.0000,-2.843480e-09,2.877696e-09,-3.421645e-11,2.860083e-15,2.849067e-09,7.179464e-13,-6.338202e-12,9,2,1.288488e-05
nonlocal,2.2000,-5.584535e-09,5.680029e-09,-9.549368e-11,1.476837e-14,5.625677e-09,1.008154e-12,-4.220117e-11,10,2,1.382097e-05
nonlocal,2.4000,-1.060129e-08,1.085251e-08,-2.512201e-10,6.259484e-14,1.065015e-08,1.396912e-12,-1.314187e-10,9,1,1.821072e-05
nonlocal,2.6000,-1.909640e-08,1.969686e-08,-6.004597e-10,2.273292e-13,1.929354e-08,1.901152e-12,-3.253845e-10,7,1,1.485339e-05
nonlocal,2.8000,-3.303755e-08,3.436227e-08,-1.324716e-09,7.128955e-13,3.367561e-08,2.541557e-12,-7.964532e-10,8,1,1.684065e-05
nonlocal,3.0000,-5.535933e-08,5.808462e-08,-2.725288e-09,1.982041e-12,5.689786e-08,3.322296e-12,-1.716834e-09,8,1,1.436743e-05
