model,bias_V,drain_A_per_um,body_A_per_um,source_A_per_um,kane_surface_A_per_um,kane_bulk_A_per_um,tat_surface_A_per_um,tat_bulk_A_per_um,iters,outer,res_norm
none,-1.0000,-3.045381e-05,5.857340e-14,3.045381e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7,0,5.141849e-05
none,-0.8000,-1.221192e-05,5.825885e-14,1.221192e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7,0,1.207775e-05
none,-0.6000,-2.912477e-06,5.799495e-14,2.912477e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9,0,1.159625e-05
none,-0.4000,-1.420755e-07,5.765157e-14,1.420754e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.181166e-05
none,-0.2000,-4.590162e-10,5.824301e-14,4.589581e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4,0,1.316079e-05
none,0.0000,-1.278976e-12,6.242231e-14,1.216524e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.221416e-05
none,0.2000,-7.629277e-14,7.240296e-14,3.873595e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4,0,1.215733e-05
none,0.4000,-8.643101e-14,8.642138e-14,5.101086e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,1.151063e-05
none,0.6000,-1.007674e-13,1.007577e-13,-3.145670e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,10,0,1.319969e-05
none,0.8000,-1.138051e-13,1.138281e-13,-9.011919e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7,0,1.267214e-05
none,1.0000,-1.253224e-13,1.253392e-13,-3.519750e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8,0,1.407948e-05
none,1.2000,-1.356713e-13,1.356836e-13,-2.057438e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8,0,1.261088e-05
none,1.4000,-1.438012e-13,1.437843e-13,-4.267909e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9,0,1.171914e-05
none,1.6000,-1.499596e-13,1.499152e-13,-5.611195e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9,0,1.145357e-05
none,1.8000,-1.534714e-13,1.534835e-13,9.351992e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8,0,1.736196e-05
none,2.0000,-1.557439e-13,1.557415e-13,-3.893829e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8,0,2.338888e-05
nonlocal,-1.0000,-3.045383e-05,1.262056e-11,3.045381e-05,9.090910e-22,1.068544e-11,1.421882e-14,1.852942e-12,7,1,5.132852e-05
nonlocal,-0.8000,-1.221193e-05,1.262451e-11,1.221192e-05,4.089114e-21,1.069338e-11,9.158243e-15,1.857341e-12,8,1,1.265728e-05
nonlocal,-0.6000,-2.912490e-06,1.262638e-11,2.912477e-06,2.168954e-20,1.069899e-11,4.500016e-15,1.862084e-12,9,1,1.218068e-05
nonlocal,-0.4000,-1.420880e-07,1.263285e-11,1.420754e-07,1.267606e-19,1.070313e-11,3.027427e-15,1.868394e-12,6,1,1.125290e-05
nonlocal,-0.2000,-4.716075e-10,1.264977e-11,4.589577e-10,7.922302e-19,1.070713e-11,6.115995e-15,1.878124e-12,4,1,1.137075e-05
nonlocal,0.0000,-1.390745e-11,1.269116e-11,1.216290e-12,4.984123e-18,1.071205e-11,2.686393e-14,1.889923e-12,6,2,1.818729e-05
nonlocal,0.2000,-1.278683e-11,1.278311e-11,3.771573e-15,2.592761e-17,1.071851e-11,9.056427e-14,1.901630e-12,5,1,1.053431e-05
nonlocal,0.4000,-1.300392e-11,1.300387e-11,1.207257e-17,1.473028e-16,1.072749e-11,2.764478e-13,1.910861e-12,5,1,1.336864e-05
nonlocal,0.6000,-1.345293e-11,1.345293e-11,-9.011919e-18,7.522047e-16,1.074060e-11,6.866362e-13,1.916867e-12,5,1,1.045312e-05
nonlocal,0.8000,-1.435077e-11,1.435074e-11,-9.011919e-18,4.328220e-15,1.075937e-11,1.503938e-12,1.952593e-12,5,1,1.238040e-05
nonlocal,1.0000,-1.611091e-11,1.611094e-11,2.839605e-17,2.718715e-14,1.077681e-11,3.140256e-12,2.006877e-12,5,1,1.197171e-05
nonlocal,1.2000,-1.951499e-11,1.951498e-11,-1.309279e-17,1.696095e-13,1.079484e-11,6.279516e-12,2.067114e-12,6,1,1.204975e-05
nonlocal,1.4000,-3.684434e-11,3.684436e-11,2.210471e-18,1.165040e-11,1.080862e-11,1.185599e-11,2.120917e-12,6,1,1.095113e-05
nonlocal,1.6000,-2.275347e-10,2.275347e-10,2.210472e-18,1.924009e-10,1.081603e-11,2.042816e-11,2.178450e-12,6,1,3.068442e-05
nonlocal,1.8000,-2.522743e-09,2.522743e-09,-5.424153e-17,2.471892e-09,1.081926e-11,2.574960e-11,2.221818e-12,9,1,1.818984e-05
nonlocal,2.0000,-1.447756e-08,1.447756e-08,-5.611087e-18,1.443577e-08,1.082000e-11,2.857527e-11,2.265811e-12,16,2,2.916074e-05
