model,bias_V,drain_A_per_um,body_A_per_um,source_A_per_um,kane_surface_A_per_um,kane_bulk_A_per_um,tat_surface_A_per_um,tat_bulk_A_per_um,iters,outer,res_norm
none,0.0000,-1.278976e-12,6.242231e-14,1.216524e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.221416e-05
none,0.2000,-2.934208e-13,9.449594e-14,1.988962e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6,0,1.112802e-05
none,0.4000,-1.533955e-13,1.293178e-13,2.412298e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.297135e-05
none,0.6000,-1.432828e-13,1.627879e-13,-1.951494e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.133167e-05
none,0.8000,-1.560491e-13,1.966036e-13,-4.050336e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.347112e-05
none,1.0000,-1.727130e-13,2.314300e-13,-5.871781e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.285584e-05
none,1.2000,-1.897557e-13,2.689551e-13,-7.920683e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.131301e-05
none,1.4000,-2.060619e-13,3.068006e-13,-1.007562e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.029060e-05
none,1.6000,-2.227654e-13,3.421409e-13,-1.193709e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.068844e-05
none,1.8000,-2.389693e-13,3.755807e-13,-1.365757e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.087715e-05
none,2.0000,-2.544795e-13,4.076800e-13,-1.532426e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4,0,1.021927e-05
none,2.2000,-2.689644e-13,4.383148e-13,-1.694061e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.308778e-05
none,2.4000,-2.814211e-13,4.660418e-13,-1.846686e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.112968e-05
none,2.6000,-2.928619e-13,4.934166e-13,-2.005685e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.163399e-05
none,2.8000,-3.043634e-13,5.204260e-13,-2.160622e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.126293e-05
none,3.0000,-3.175847e-13,5.467543e-13,-2.291579e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5,0,1.323318e-05
nonlocal,0.0000,-1.390745e-11,1.269116e-11,1.216290e-12,4.984123e-18,1.071205e-11,2.686393e-14,1.889923e-12,6,2,1.818729e-05
nonlocal,0.2000,-8.471805e-11,8.456637e-11,1.516721e-13,3.221031e-17,8.113265e-11,4.181088e-14,3.251445e-12,7,2,5.433572e-05
nonlocal,0.4000,-4.172549e-10,4.174336e-10,-1.786920e-13,1.508566e-16,4.118036e-10,5.997793e-14,5.241185e-12,11,2,1.166344e-05
nonlocal,0.6000,-1.549012e-09,1.549577e-09,-5.644614e-13,5.258806e-16,1.540583e-09,8.150263e-14,8.209550e-12,7,2,1.064233e-05
nonlocal,0.8000,-4.607243e-09,4.609228e-09,-1.984568e-12,1.457067e-15,4.594682e-09,1.148078e-13,1.229892e-11,8,2,1.190941e-05
nonlocal,1.0000,-1.200379e-08,1.201692e-08,-1.313225e-11,3.363094e-15,1.191904e-08,1.569334e-13,1.735554e-11,8,1,1.208078e-05
nonlocal,1.2000,-2.799029e-08,2.807723e-08,-8.693565e-11,7.040895e-15,2.786633e-08,2.156217e-13,2.319021e-11,6,1,1.285969e-05
nonlocal,1.4000,-6.058564e-08,6.101335e-08,-4.277102e-10,1.397196e-14,6.035603e-08,2.988571e-13,2.938600e-11,6,1,1.382008e-05
nonlocal,1.6000,-1.225387e-07,1.241179e-07,-1.579170e-09,2.605262e-14,1.220646e-07,4.104701e-13,3.263870e-11,6,1,1.328504e-05
nonlocal,1.8000,-2.324790e-07,2.370913e-07,-4.612236e-09,4.622472e-14,2.314267e-07,5.712892e-13,2.504858e-11,5,1,1.402349e-05
nonlocal,2.0000,-4.128818e-07,4.247420e-07,-1.186017e-08,8.012252e-14,4.111465e-07,8.124914e-13,-2.488707e-11,15,1,1.317384e-05
nonlocal,2.2000,-6.925513e-07,7.201899e-07,-2.763863e-08,1.404813e-13,6.907374e-07,1.128408e-12,-1.380940e-10,5,1,1.294724e-05
nonlocal,2.4000,-1.114241e-06,1.174516e-06,-6.027560e-08,2.623755e-13,1.112588e-06,1.537103e-12,-3.854106e-10,5,1,1.505924e-05
nonlocal,2.6000,-1.732702e-06,1.855239e-06,-1.225370e-07,5.368421e-13,1.730848e-06,2.060423e-12,-8.802669e-10,5,1,1.447843e-05
nonlocal,2.8000,-2.625718e-06,2.859035e-06,-2.333166e-07,1.182424e-12,2.624070e-06,2.721191e-12,-1.920003e-09,7,1,1.270853e-05
nonlocal,3.0000,-3.859365e-06,4.274901e-06,-4.155353e-07,2.684153e-12,3.859517e-06,3.523562e-12,-3.824786e-09,10,1,2.074844e-05
