Va_V,J_anode_A_cm2,res_norm,iters
-1.0000,-3.434188e-05,2.622e-08,5
-0.9000,-3.223166e-05,2.538e-08,5
-0.8000,-2.998741e-05,2.440e-08,5
-0.7000,-2.788652e-05,2.350e-08,5
-0.6000,-2.521392e-05,2.688e-08,5
-0.5000,-2.225296e-05,1.722e-08,5
-0.4000,-1.911249e-05,8.738e-08,5
-0.3000,-1.466194e-05,2.357e-08,5
-0.2000,-9.804156e-06,2.179e-08,6
-0.1000,-5.152497e-06,2.495e-08,6
0.0000,5.506450e-13,2.942e-08,7
0.1000,1.295683e-05,2.024e-08,10
0.2000,8.682043e-05,3.039e-08,17
0.3000,6.646683e-04,2.203e-08,13
0.4000,7.790906e-03,2.297e-08,10
0.5000,1.895873e-01,3.973e-08,7
0.6000,6.727687e+00,8.846e-06,7
0.7000,1.202207e+02,2.727e-08,7
0.8000,5.071035e+02,3.388e-08,6
0.9000,1.129453e+03,3.286e-08,6
1.0000,1.953280e+03,9.679e-06,5
