VG_V,Qs_C_cm2,C_lf_F_cm2,res_norm,iters
-1.0000,2.973688e-07,3.357836e-07,5.108e-11,8
-0.9000,2.637904e-07,3.347798e-07,5.761e-15,5
-0.8000,2.304128e-07,3.324469e-07,5.470e-15,5
-0.7000,1.973010e-07,3.292923e-07,3.068e-15,5
-0.6000,1.645543e-07,3.248450e-07,2.735e-15,5
-0.5000,1.323320e-07,3.182482e-07,2.853e-15,5
-0.4000,1.009047e-07,3.078678e-07,2.462e-14,5
-0.3000,7.075848e-08,2.905539e-07,2.667e-13,5
-0.2000,4.279393e-08,2.609396e-07,2.049e-12,5
-0.1000,1.857056e-08,2.139696e-07,8.876e-12,5
0.0000,-9.560779e-18,1.554237e-07,1.198e-11,5
0.1000,-1.251417e-08,1.050673e-07,4.923e-12,5
0.2000,-2.101345e-08,7.483017e-08,4.830e-13,5
0.3000,-2.748020e-08,5.947493e-08,9.401e-14,5
0.4000,-3.290844e-08,5.124491e-08,9.100e-15,5
0.5000,-3.772919e-08,4.612993e-08,6.397e-15,5
0.6000,-4.213443e-08,4.242392e-08,2.604e-15,5
0.7000,-4.621397e-08,3.999408e-08,4.559e-15,5
0.8000,-5.013324e-08,5.082864e-08,4.374e-15,5
0.9000,-5.637970e-08,1.196337e-07,3.905e-12,5
1.0000,-7.405999e-08,2.204251e-07,2.932e-15,7
1.1000,-1.004647e-07,2.810769e-07,6.518e-13,6
1.2000,-1.302754e-07,3.059604e-07,2.809e-15,6
1.3000,-1.616568e-07,3.181538e-07,2.907e-15,6
1.4000,-1.939061e-07,3.251985e-07,2.886e-11,5
1.5000,-2.266965e-07,3.297311e-07,3.423e-12,5
1.6000,-2.598524e-07,3.328667e-07,4.953e-13,5
1.7000,-2.932698e-07,3.351537e-07,4.029e-14,5
1.8000,-3.268831e-07,3.368905e-07,6.431e-15,5
1.9000,-3.606479e-07,3.382519e-07,6.118e-15,5
2.0000,-3.945335e-07,3.388552e-07,6.467e-15,5
