Vgs_V,Vds_V,Id_A_per_um
0.9000,0.0000,1.497873e-37
0.9000,0.1000,3.941299e-06
0.9000,0.2000,4.687767e-06
0.9000,0.3000,5.087164e-06
0.9000,0.4000,5.446770e-06
0.9000,0.5000,5.791473e-06
0.9000,0.6000,6.127758e-06
0.9000,0.7000,6.458865e-06
0.9000,0.8000,6.786769e-06
0.9000,0.9000,7.112794e-06
0.9000,1.0000,7.437879e-06
0.9000,1.1000,7.762712e-06
0.9000,1.2000,8.087821e-06
0.9000,1.3000,8.413625e-06
0.9000,1.4000,8.740469e-06
0.9000,1.5000,9.068645e-06
1.1000,0.0000,1.117644e-37
1.1000,0.1000,2.402340e-05
1.1000,0.2000,3.532236e-05
1.1000,0.3000,3.919381e-05
1.1000,0.4000,4.108598e-05
1.1000,0.5000,4.257662e-05
1.1000,0.6000,4.390417e-05
1.1000,0.7000,4.513031e-05
1.1000,0.8000,4.628348e-05
1.1000,0.9000,4.738023e-05
1.1000,1.0000,4.843140e-05
1.1000,1.1000,4.944470e-05
1.1000,1.2000,5.042584e-05
1.1000,1.3000,5.137925e-05
1.1000,1.4000,5.230842e-05
1.1000,1.5000,5.321619e-05
1.3000,0.0000,2.304420e-39
1.3000,0.1000,4.973300e-05
1.3000,0.2000,8.158772e-05
1.3000,0.3000,9.720943e-05
1.3000,0.4000,1.033440e-04
1.3000,0.5000,1.065762e-04
1.3000,0.6000,1.090697e-04
1.3000,0.7000,1.112399e-04
1.3000,0.8000,1.132076e-04
1.3000,0.9000,1.150296e-04
1.3000,1.0000,1.167393e-04
1.3000,1.1000,1.183582e-04
1.3000,1.2000,1.199017e-04
1.3000,1.3000,1.213811e-04
1.3000,1.4000,1.228052e-04
1.3000,1.5000,1.241810e-04
1.5000,0.0000,-3.571852e-38
1.5000,0.1000,7.665437e-05
1.5000,0.2000,1.318439e-04
1.5000,0.3000,1.646128e-04
1.5000,0.4000,1.799926e-04
1.5000,0.5000,1.865270e-04
1.5000,0.6000,1.904618e-04
1.5000,0.7000,1.936006e-04
1.5000,0.8000,1.963391e-04
1.5000,0.9000,1.988164e-04
1.5000,1.0000,2.011025e-04
1.5000,1.1000,2.032396e-04
1.5000,1.2000,2.052553e-04
1.5000,1.3000,2.071697e-04
1.5000,1.4000,2.089977e-04
1.5000,1.5000,2.107512e-04
