Vds_V,Vgs_V,Id_A_per_um
0.0500,-0.3000,7.093767e-15
0.0500,-0.2500,7.168730e-15
0.0500,-0.2000,7.198821e-15
0.0500,-0.1500,7.243429e-15
0.0500,-0.1000,7.316281e-15
0.0500,-0.0500,7.443243e-15
0.0500,0.0000,7.622204e-15
0.0500,0.0500,7.857387e-15
0.0500,0.1000,8.154335e-15
0.0500,0.1500,8.707319e-15
0.0500,0.2000,9.964533e-15
0.0500,0.2500,1.443512e-14
0.0500,0.3000,3.376079e-14
0.0500,0.3500,1.266853e-13
0.0500,0.4000,5.933895e-13
0.0500,0.4500,3.007219e-12
0.0500,0.5000,1.572454e-11
0.0500,0.5500,8.356361e-11
0.0500,0.6000,4.485804e-10
0.0500,0.6500,2.421108e-09
0.0500,0.7000,1.303185e-08
0.0500,0.7500,6.821031e-08
0.0500,0.8000,3.193264e-07
0.0500,0.8500,1.130361e-06
0.0500,0.9000,2.754285e-06
0.0500,0.9500,5.027776e-06
0.0500,1.0000,7.706993e-06
0.0500,1.0500,1.063981e-05
0.0500,1.1000,1.373884e-05
0.0500,1.1500,1.695059e-05
0.0500,1.2000,2.024023e-05
0.0500,1.2500,2.358409e-05
0.0500,1.3000,2.696554e-05
0.0500,1.3500,3.037265e-05
0.0500,1.4000,3.379665e-05
0.0500,1.4500,3.723104e-05
0.0500,1.5000,4.067090e-05
1.0000,-0.3000,6.899867e-14
1.0000,-0.2500,6.926473e-14
1.0000,-0.2000,6.967175e-14
1.0000,-0.1500,7.012443e-14
1.0000,-0.1000,7.080464e-14
1.0000,-0.0500,7.175276e-14
1.0000,0.0000,7.309418e-14
1.0000,0.0500,7.481674e-14
1.0000,0.1000,7.742963e-14
1.0000,0.1500,8.252605e-14
1.0000,0.2000,9.543684e-14
1.0000,0.2500,1.363785e-13
1.0000,0.3000,2.861038e-13
1.0000,0.3500,8.933382e-13
1.0000,0.4000,3.539020e-12
1.0000,0.4500,1.569508e-11
1.0000,0.5000,7.378952e-11
1.0000,0.5500,3.596459e-10
1.0000,0.6000,1.796131e-09
1.0000,0.6500,9.103831e-09
1.0000,0.7000,4.613719e-08
1.0000,0.7500,2.247836e-07
1.0000,0.8000,9.529429e-07
1.0000,0.8500,3.086056e-06
1.0000,0.9000,7.437879e-06
1.0000,0.9500,1.429892e-05
1.0000,1.0000,2.357883e-05
1.0000,1.0500,3.504351e-05
1.0000,1.1000,4.843140e-05
1.0000,1.1500,6.349702e-05
1.0000,1.2000,8.002363e-05
1.0000,1.2500,9.782430e-05
1.0000,1.3000,1.167393e-04
1.0000,1.3500,1.366324e-04
1.0000,1.4000,1.573877e-04
1.0000,1.4500,1.789059e-04
1.0000,1.5000,2.011025e-04
