Va_V,I_tat_A,I_no_tat_A,enhancement,J_std_over_mean,I_srh_closed_A,I_tat_closed_A
-0.05,-1.4170661794307978e-10,-5.514534824580042e-11,2.5696930466636667,3.6748303258476675e-06,-9.392396646524384e-10,-2.187400087085107e-09
-0.1769230769230769,-3.8347253045792674e-10,-1.4136644748066576e-10,2.712613475770996,7.316184945842671e-06,-9.937843461954043e-10,-2.418613809637905e-09
-0.3038461538461538,-6.0814639426661e-10,-2.134473574241862e-10,2.849163379699446,6.8357873271436264e-06,-1.0454872097876806e-09,-2.6538130724044294e-09
-0.43076923076923074,-8.325888589109887e-10,-2.792292111223955e-10,2.9817398242981,3.902238735257171e-06,-1.0947509693607186e-09,-2.8935637868138593e-09
-0.5576923076923077,-1.0585864265132226e-09,-3.401780122427333e-10,3.1118602273384752,7.622472340271248e-06,-1.1418913538523862e-09,-3.1383502418687737e-09
-0.6846153846153846,-1.287208054333704e-09,-3.972161260555644e-10,3.2405735062066525,4.872406462124976e-06,-1.1871613382727042e-09,-3.3886001805772352e-09
-0.8115384615384615,-1.5193060500266205e-09,-4.510220704269008e-10,3.3685847093659276,4.787882222053163e-06,-1.2307673306421649e-09,-3.644701482050337e-09
-0.9384615384615385,-1.7555528425609727e-09,-5.020970056798795e-10,3.4964415694608926,3.865909705499927e-06,-1.27288035622467e-09,-3.907013655178595e-09
-1.0653846153846154,-1.9964582028139334e-09,-5.508071737821694e-10,3.6246045764165795,6.980689865517576e-06,-1.313644008226447e-09,-4.175876000327612e-09
-1.1923076923076923,-2.242440818888372e-09,-5.974312945825773e-10,3.7534706320584625,5.83799254055748e-06,-1.35318023907972e-09,-4.451613560963861e-09
-1.3192307692307692,-2.493922076101337e-09,-6.422078724122151e-10,3.883356438366048,4.671541947026884e-06,-1.3915936686125197e-09,-4.734541568304031e-09
-1.4461538461538461,-2.751596126741351e-09,-6.854583150771917e-10,4.014242830260925,4.303505108196845e-06,-1.4289748484872132e-09,-5.024968833627184e-09
-1.573076923076923,-3.015912159888982e-09,-7.274063145658455e-10,4.1461176504757695,3.4881927139043445e-06,-1.465402776268578e-09,-5.323200390366531e-09
-1.7,-3.285872000191951e-09,-7.676502571622086e-10,4.280428449719947,4.017632890714021e-06,-1.500946859746293e-09,-5.629539591625967e-09
-1.8269230769230769,-3.563026347007634e-09,-8.067366139463474e-10,4.416591841020117,2.8500453287014753e-06,-1.5356684716659586e-09,-5.944289806119085e-09
-1.9538461538461538,-3.848981190823832e-09,-8.453949918840096e-10,4.552879101218904,2.314821804279388e-06,-1.5696221946556004e-09,-6.267755813883082e-09
-2.0807692307692305,-4.139375394775243e-09,-8.817575935732528e-10,4.694459594048691,5.559450597736174e-06,-1.602856828616351e-09,-6.6002449748512956e-09
-2.2076923076923074,-4.4417606081546475e-09,-9.188067706267691e-10,4.834270654236338,4.360107129330272e-06,-1.6354162137292964e-09,-6.942068223814475e-09
-2.3346153846153843,-4.747619051883885e-09,-9.531658856939612e-10,4.980894850666353,3.2578057818628658e-06,-1.6673399087214554e-09,-7.2935409315438104e-09
-2.4615384615384612,-5.067411013941855e-09,-9.888025308828433e-10,5.124795756153115,3.923534222354142e-06,-1.69866375433806e-09,-7.654983662018845e-09
-2.588461538461538,-5.389368876199707e-09,-1.0211215770097072e-09,5.277891484755565,3.471990976304376e-06,-1.7294203449099577e-09,-8.026722848579926e-09
-2.715384615384615,-5.728679477399074e-09,-1.05598065991107e-09,5.4249852245225005,4.292405874222631e-06,-1.7596394256992197e-09,-8.40909140659534e-09
-2.842307692307692,-6.067822467585809e-09,-1.0862949034479236e-09,5.5857966822143865,3.7662781823304166e-06,-1.7893482298204793e-09,-8.802429296348879e-09
-2.969230769230769,-6.4259283235085585e-09,-1.119868180824379e-09,5.738111354122214,2.3740120087903054e-06,-1.8185717656029648e-09,-9.207084046935879e-09
-3.096153846153846,-6.788647521972826e-09,-1.1503209458077201e-09,5.901524741172166,3.0229164231662284e-06,-1.8473330630221737e-09,-9.623411249742647e-09
-3.2230769230769227,-7.1593996314154625e-09,-1.1796799240825084e-09,6.068934026306889,2.1720506997593137e-06,-1.875653386108822e-09,-1.0051775028389475e-08
-3.3499999999999996,-7.552144278925035e-09,-1.2127616415309446e-09,6.227228847204874,2.061222240507435e-06,-1.9035524169058475e-09,-1.0492548490708391e-08
-3.4769230769230766,-7.941344177656811e-09,-1.2393831752194526e-09,6.407497161844778,2.581276721648041e-06,-1.931048415497316e-09,-1.0946114167307631e-08
-3.6038461538461535,-8.34870052460989e-09,-1.2686913555219326e-09,6.580560739436331,2.5249172290121027e-06,-1.9581583598068102e-09,-1.1412864440475619e-08
-3.7307692307692304,-8.776682263895162e-09,-1.30062407890526e-09,6.748054573372598,2.849658883064725e-06,-1.984898068205997e-09,-1.1893201966545298e-08
-3.8576923076923073,-9.199249234160194e-09,-1.3250699286766082e-09,6.942463212751189,1.8707536307557377e-06,-2.0112823074482862e-09,-1.2387540094338482e-08
-3.9846153846153842,-9.641207457362494e-09,-1.3523874994385767e-09,7.12902733969731,1.3539966910608776e-06,-2.037324888018871e-09,-1.289630328190763e-08
-4.111538461538461,-1.0110085242588474e-08,-1.3844983697411846e-09,7.302345357386324,2.792986057748062e-06,-2.0630387486491156e-09,-1.3419927513470044e-08
-4.2384615384615385,-1.0574435671271557e-08,-1.408806175341636e-09,7.50595493997409,3.2031811771263374e-06,-2.088436031463332e-09,-1.3958860718168266e-08
-4.365384615384615,-1.104816189611355e-08,-1.4316197740078494e-09,7.717245945258209,2.9207380515140617e-06,-2.1135281489965808e-09,-1.4513563192078091e-08
-4.4923076923076914,-1.1557080621861301e-08,-1.4625509326332983e-09,7.902002155270567,2.1876803311495985e-06,-2.1383258441330957e-09,-1.5084508024712313e-08
-4.619230769230769,-1.2077152138162793e-08,-1.4911031812386379e-09,8.099474463015012,2.021682917580941e-06,-2.1628392438584335e-09,-1.567218153112615e-08
-4.746153846153846,-1.2591251996794451e-08,-1.5111175779771017e-09,8.33241051543459,2.3613336762974127e-06,-2.1870779075882783e-09,-1.627708369061297e-08
-4.873076923076923,-1.312754983792378e-08,-1.5341627947074177e-09,8.556816710202748,2.0869408914965088e-06,-2.2110508707280625e-09,-1.689972859288155e-08
